"","s0","s0.1","s0.2"
"",-12.9422292706995,11.9188441476209,1.0233851230786
"L.Proline",0,-0.990781593030293,0
"L.Leucine",6.29836856341499,-1.12523245200594,0
"Uric.acid",0,0,0.0219607880820616
"cis.Aconitic.acid",-0.207800621108635,0.0929629414853513,0
"D.Glucurono.6.3.lactone",0.0499452928162956,0,0
"Isocitric.acid",0,0,0
"Gluconic.acid",0,0,0.338110207580758
"Glycerylphosphorylethanolamine",-2.34620147705447,0,0.296014932406803
"Pantothenic.acid",0,0,0.554593882722751
"Cytidine",0,4.44081748958202,0
"X7.8.Dihydroneopterin",14.1220907665435,-5.5439189979259,0
"X5.Aminoimidazole.ribonucleotide",1.11365848313808,-2.00829056385881,0
"Phytosphingosine",0.650548343407146,-5.12279408602938,0
"Biocytin",1.80050914713442,-0.064817519978867,0
"IDP",-1.16111257964083,0.199956770260453,0
"PC.14.0.20.3.5Z.8Z.11Z..",0,-0.185957798149591,0.138278972520234
