Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_003,0,0.712066699,0.740137153,33.76764824,1.835258615,0.335895412,41.42635812,6.256598869,0.379133199,0.736814844,0.319194905,0.831021699,1.735719115,0.707871172,0.058682533,0.286913982,1.719629206
AV_005,0,0.915684977,1.000004122,27.96142957,0.182633794,18.43666853,24.98884369,3.789479417,0.820111341,1.417780602,0.284216727,0.904229455,1.751570947,0.512626481,0.068338022,0.64338817,0.727719338
AV_008,0,0.886646682,0.594561018,25.98323002,1.496352865,10.05792313,28.91560802,5.187896985,0.432119132,1.386579173,0.424561275,0.839553979,2.185032539,0.742421188,0.443681818,0.482306494,6.593208409
AV_010,0,0.857264098,0.904642456,26.12699888,1.608614075,1.526329291,26.44692624,4.930983712,0.676612854,1.906426256,0.329313625,0.84147427,2.633286566,0.628127818,0.343095208,0.764948601,4.418599454
AV_013,0,0.79418092,1.00080124,38.15827183,1.525598178,0.714850918,29.06704736,4.447017384,0.617351251,1.228621795,0.350951468,0.893208463,2.579017801,0.889149057,0.638576387,0.27631786,5.357637597
AV_016,0,0.628925038,0.723282728,32.78106017,1.731222517,0.53169593,35.67031237,5.401269721,0.402007223,1.506059757,0.361777069,0.846191216,1.638293765,0.743597731,0.489378468,0.306031183,3.68828807
AV_020,0,1.008399087,1.008888386,28.90916106,1.048070156,5.172430192,26.50900319,5.129890429,0.946270644,0.86948498,0.493615716,0.877426095,2.851600854,0.736117724,0.520002552,0.42680916,2.444301412
AV_024,0,0.519730271,0.773574165,29.81023401,1.436196536,0.532284381,18.3213541,6.764161514,0.416710295,0.709187305,0.400314993,0.857454741,1.857433072,0.954013215,0.768126166,0.256526709,1.21847994
AV_027,0,0.78622164,0.771964589,28.23756176,2.268080688,3.185123047,38.92116796,7.708037184,0.533997717,1.099013417,0.314785103,0.907548545,1.795297884,1.640619449,0.338988969,0.423267912,1.093951793
AV_029,0,1.155223359,1.075768623,24.13469544,0.881799312,15.47140772,19.99962491,4.933518769,1.434715911,2.01435412,0.295499096,0.924102304,2.06176106,1.210721774,0.462784733,0.630583811,0.746685573
AV_033,0,0.929286007,0.918357088,26.92644301,0.287938,7.910669709,23.79760648,14.99383844,0.655703961,1.090490718,0.316291745,0.931443296,1.911937951,0.847037184,0.403838509,0.520578958,1.422897958
AV_036,0,0.99813174,1.088935429,26.6766181,1.534735234,1.75930344,21.29602058,6.649214431,0.644685261,1.20676026,0.42523677,0.90498511,2.279527415,0.96871163,0.405913509,0.310944103,2.548306248
AV_037,0,0.930096044,0.998032164,32.48761372,0.934086148,4.303844815,16.14843475,3.497896187,0.816242579,1.246686642,0.253119444,0.872395369,1.897438657,1.446779048,0.330504746,0.903322787,0.221497784
AV_040,0,0.841754643,0.846733305,35.08329072,2.22197205,0.510246138,38.39359306,5.506934352,0.430061401,1.099408718,0.471861142,0.838097078,1.866621721,1.401447348,0.634563961,0.284564198,2.035008806
AV_043,0,0.975699013,0.91825127,40.35343677,1.094670578,2.57135241,15.77451326,3.762843745,0.614832971,0.882881595,0.240483582,0.895514569,1.5882188,1.328636511,0.334104493,0.297054369,0.237856709
AV_044,0,0.631055943,0.773067774,29.35143704,1.135569764,0.723639038,22.49347346,4.970982625,0.417778913,0.585543508,0.349879372,0.903172068,1.72642545,1.573881702,0.450293235,0.28880206,1.10426287
AV_048,0,0.765326214,0.864285263,42.61984882,1.67685986,0.800879571,26.38520175,5.276642629,0.502899114,1.31370086,0.385880295,0.85429087,2.117108625,1.362829504,0.529244675,0.196710635,2.176465739
AV_052,0,0.71126868,0.810904276,22.18441537,1.221629889,0.549547361,31.04231745,4.557721596,0.367553347,0.640017664,0.313505981,0.831028851,1.698812316,0.58642158,0.600084963,0.240459359,4.129105535
AV_053,0,0.98270941,1.114333737,38.98594162,0.277056928,1.422941306,20.63938067,5.323616777,0.583508331,0.591422513,0.521131242,0.866863241,2.702690078,0.729913334,0.739013795,0.400848385,3.384976387
AV_060,0,0.53966995,0.747141431,49.03432068,1.336395189,4.25840885,11.10692253,5.56278002,0.61587098,1.98602002,1.723740043,0.811990292,2.278902948,0.904236312,0.426037834,0.358535869,5.199229807
AV_062,0,0.999446952,1.065270067,35.31181278,0.28997849,0.918407755,17.97973716,4.103213428,0.573602309,1.007696777,0.481353936,0.903631577,3.1411857,1.141345721,0.745359528,0.641826095,3.699875556
AV_064,0,1.511233948,1.310714292,30.57268613,0.356192668,1.27076045,17.45820261,8.528643779,0.608325079,1.443802739,0.411409707,0.935797146,3.316615694,0.981652673,0.741382222,0.808261502,3.058261938
AV_068,0,0.872367691,0.823029963,36.53094268,1.09265848,0.583532968,27.19735938,5.789574254,0.431961657,1.291675012,0.401635409,0.897310037,2.109115476,1.028541057,0.806653592,0.230013385,2.325047701
AV_070,0,0.812838197,1.106487889,35.92374988,0.338755795,1.965118156,24.42811008,5.117505807,0.488899871,1.054180061,0.173403676,0.944897461,0.961541166,0.922861862,0.493682006,0.309034102,0.321300404
AV_072,0,0.859023442,0.911007091,25.54430656,0.231272938,2.131229875,31.21356491,6.03622825,0.504183659,1.024691285,0.404490247,0.901128078,2.212025238,0.948708148,0.488000231,0.454810294,2.390739831
AV_075,0,1.083534711,0.819727577,9.944689774,1.083640724,3.107747519,17.51846608,4.642405559,0.308930781,0.588667046,0.168046256,0.956567782,0.864804492,0.721445547,0.205365611,0.18463542,0.154260815
AV_078,0,1.170622537,1.130169755,37.24807496,0.337242316,0.882313055,18.64283404,4.320538617,0.574236207,0.821285575,0.384223274,0.866873349,2.708331386,0.681788252,0.640803624,0.211964312,5.059209868
AV_080,0,1.368938901,0.94826316,9.349023066,0.279913196,2.320736127,21.86584507,4.876457802,0.687694426,0.868774944,0.182291769,0.916180155,1.337043776,0.612388615,0.191706761,0.364295557,0.164989942
AV_085,0,0.85837715,1.212731939,24.34000358,0.299983166,8.001453778,19.8382166,4.863554322,0.586944229,0.78537261,0.218812931,0.940903466,1.256381686,0.681621939,0.480908201,0.295610887,0.511603953
AV_086,0,0.895396771,0.722492622,9.998395482,0.846999375,17.08877283,15.89208136,3.6228594,0.481403141,0.815566205,0.190507541,0.923397319,1.494248567,0.714911369,0.231858415,0.45485783,0.429635841
AV_090,0,0.601173941,0.864540659,28.36352745,0.36573772,6.878327501,21.15964776,5.062163197,0.486355433,1.073105455,0.224244784,0.908522886,1.342453853,0.788970888,0.360212648,0.355049234,0.532779116
AV_092,0,0.671563966,0.7086627,16.5509659,0.128012778,32.56097723,10.96123846,4.746532669,1.849066098,1.653795948,0.267147168,0.951812275,1.991724867,0.646321319,0.367566926,0.718681436,1.097870382
AV_094,0,1.040508806,1.003075825,23.95095345,16.09441381,1.784368071,579.0794411,1.995528002,0.108008286,0.254031581,0.131618516,1.062966847,0.171660657,0.766871812,0.157245872,6.051389758,0.040153409
AV_096,0,0.635832541,0.691560364,24.54142886,1.409697352,0.983389722,29.15842618,5.189333656,0.255425258,0.664235395,0.194173835,0.95025055,0.838748798,0.778472047,0.391474467,0.356433357,0.17175558
